Date,Station,Code,Max_Temp_C,Max_Depart,Min_Temp_C,Min_Depart,Humidity_%,Lat,Lon
2024-01-05,Veraval,42909.0,30.2,1.0,16.1,1.0,89.0,20.9,70.3667
2024-01-05,Diu,42914.0,30.3,3.0,9.7,-2.0,50.0,20.7167,70.9167
2024-01-05,Daman,42916.0,27.8,,17.4,,82.0,20.4167,72.85
2024-01-05,Nasik,42921.0,29.5,,12.8,2.0,19.0,20.0,73.7833
2024-01-05,Malegaon,42925.0,28.8,-1.0,16.6,6.0,52.0,20.55,74.5333
2024-01-05,Buldhana,42931.0,29.4,3.0,15.2,2.0,62.0,20.5333,76.2333
2024-01-05,Akola city,42933.0,30.4,2.0,17.6,4.0,55.0,20.7,77.0333
2024-01-05,Washim,42935.0,29.6,,15.6,1.0,69.0,20.1167,77.1333
2024-01-05,Amravati,42937.0,29.0,1.0,17.0,3.0,58.0,20.9333,77.7833
2024-01-05,Wardha,42939.0,27.5,1.0,17.0,4.0,57.0,20.6667,78.5833
2024-01-05,Yeotmal,42943.0,,,15.0,1.0,,20.4,78.15
2024-01-05,Brahmapuri,42946.0,30.3,2.0,15.5,3.0,60.0,20.6,79.85
2024-01-05,Gadchiroli,42947.0,29.0,,15.2,0.0,41.0,20.1833,79.9833
2024-01-05,Rajnandgaon,42948.0,28.0,6.0,,4.0,44.0,21.1,81.0333
2024-01-05,Titlagarh,42961.0,28.5,0.0,17.0,5.0,64.0,20.3,83.3
2024-01-05,Bolangir,42963.0,28.3,1.0,14.5,5.0,70.0,20.7,83.5
2024-01-05,Boudh,42964.0,29.5,0.0,14.6,0.0,93.0,20.8167,84.3167
2024-01-05,Pulbani,42966.0,24.6,-1.0,,0.0,83.0,20.4833,84.2667
2024-01-05,Angul,42969.0,27.7,0.0,11.0,-2.0,70.0,20.8333,85.1
2024-01-05,Bhubneshwar-Cuttack,42970.0,27.5,0.0,15.0,2.0,78.0,20.4667,85.9333
2024-01-05,Bhubneshwar-Airport,42971.0,27.8,0.0,15.0,0.0,56.0,20.25,85.8333
2024-01-05,Nayagarh,42972.0,27.0,0.0,15.0,0.0,61.0,20.1167,85.1
2024-01-05,Chandbali,42973.0,26.5,0.0,15.4,1.0,76.0,20.7833,86.7333
2024-01-05,Paradip,42976.0,27.5,1.0,16.3,0.0,68.0,20.3,86.6833
2024-01-05,Dahanu,43001.0,26.7,-1.0,17.4,0.0,85.0,19.9667,72.7167
2024-01-05,Mumbai-Santacruz,43003.0,31.0,0.0,18.5,1.0,51.0,19.1167,72.85
2024-01-05,Ahmednagar,43009.0,,,16.4,5.0,,19.0833,74.8
2024-01-05,Beed,43011.0,,,18.5,6.0,,19.0,75.7167
2024-01-05,Aurangabad,43014.0,29.0,1.0,15.6,4.0,48.0,19.85,75.35
2024-01-05,Parbhani,43017.0,29.6,1.0,17.5,5.0,51.0,19.2667,76.8333
2024-01-05,Nanded,43021.0,29.6,0.0,18.2,6.0,50.0,19.0833,77.3333
2024-01-05,"Adilabad
",43025.0,31.3,3.0,15.2,2.0,49.0,19.65,78.5333
2024-01-05,Chandrapur,43029.0,28.4,-1.0,15.0,2.0,56.0,19.9667,79.3
2024-01-05,Jagdalpur,43041.0,29.0,1.0,13.0,1.0,53.0,19.0833,82.0333
2024-01-05,Rayagada,43045.0,29.8,0.0,16.0,0.0,83.0,19.25,83.4
2024-01-05,Chhatrapur,43048.0,28.0,0.0,16.4,0.0,79.0,19.35,84.9833
2024-01-05,Gopalpur,43049.0,25.6,-2.0,16.1,0.0,61.0,19.2667,84.8833
2024-01-05,Puri,43053.0,27.0,0.0,17.1,0.0,64.0,19.8,85.8167
2024-01-05,Mumbai-Colaba,43057.0,27.5,-3.0,19.5,0.0,86.0,18.9333,72.8167
2024-01-05,Alibag,43058.0,28.7,0.0,15.7,-2.0,68.0,18.65,72.8667
2024-01-05,Pune-Shivajinagar,43063.0,30.4,2.0,14.0,3.0,31.0,18.5333,73.85
